regime,ticker,window,n,win_rate,avg_return,median_return,std,confidence
MILD RISK-OFF,QQQ,+1d,482,0.5560165975103735,0.0008977064889306096,0.0019690352879380146,0.01492414928242612,[RELIABLE]
MILD RISK-OFF,QQQ,+3d,480,0.5833333333333334,0.0033997695649578513,0.005665159211915127,0.024746949014900932,[RELIABLE]
MILD RISK-OFF,QQQ,+5d,478,0.6171548117154811,0.005204377973053451,0.008283284051973427,0.03139183232727358,[RELIABLE]
MILD RISK-OFF,QQQ,+10d,475,0.6357894736842106,0.009361175732307254,0.016005818597546906,0.041984289008726444,[RELIABLE]
MILD RISK-OFF,QQQ,+20d,465,0.6774193548387096,0.01552342347065765,0.022292260005313258,0.060647141749518574,[RELIABLE]
MILD RISK-OFF,IWM,+1d,482,0.5601659751037344,0.00024969929260844874,0.001482318146306505,0.014766068924638989,[RELIABLE]
MILD RISK-OFF,IWM,+3d,480,0.5770833333333333,0.0017445172888380074,0.003904107534830392,0.025058106386030322,[RELIABLE]
MILD RISK-OFF,IWM,+5d,478,0.5648535564853556,0.0024883021120610986,0.004946680520849567,0.03129128386447698,[RELIABLE]
MILD RISK-OFF,IWM,+10d,475,0.5642105263157895,0.004019669036001883,0.007402045169166094,0.042675771776279806,[RELIABLE]
MILD RISK-OFF,IWM,+20d,465,0.5806451612903226,0.003914633983132198,0.008353055449208169,0.05773224465275436,[RELIABLE]
MILD RISK-ON,SPY,+1d,1117,0.5702775290957923,0.0006909559510189947,0.0007372675508423576,0.007796490451319061,[RELIABLE]
MILD RISK-ON,SPY,+3d,1117,0.6069829901521934,0.0016751680635467578,0.002660644264870893,0.013939387878090573,[RELIABLE]
MILD RISK-ON,SPY,+5d,1117,0.6195165622202328,0.0024433334522001087,0.004030101279046239,0.01840197569794191,[RELIABLE]
MILD RISK-ON,SPY,+10d,1117,0.666069829901522,0.005104852960290218,0.007641567216875256,0.02578824484907014,[RELIABLE]
MILD RISK-ON,SPY,+20d,1117,0.7162041181736795,0.011282407000595934,0.017421787762547325,0.039325830810293755,[RELIABLE]
MILD RISK-ON,QQQ,+1d,1117,0.5819158460161146,0.0008185743183570625,0.0014428572919567006,0.010656747514189565,[RELIABLE]
MILD RISK-ON,QQQ,+3d,1117,0.5953446732318711,0.0021539020646916015,0.003852016102188438,0.01875278920651813,[RELIABLE]
MILD RISK-ON,QQQ,+5d,1117,0.5998209489704566,0.0034341914844635128,0.0057720670277359165,0.02449867349667762,[RELIABLE]
MILD RISK-ON,QQQ,+10d,1117,0.6544315129811996,0.007473522237489306,0.011762393629528578,0.03373811173367393,[RELIABLE]
MILD RISK-ON,QQQ,+20d,1117,0.6991942703670546,0.016541503050602323,0.022672728540294562,0.04838120253358333,[RELIABLE]
MILD RISK-ON,IWM,+1d,1117,0.5416293643688451,0.0006995008402471758,0.0009310115365026572,0.011412790075317722,[RELIABLE]
MILD RISK-ON,IWM,+3d,1117,0.5308863025962399,0.0016761695664146627,0.0011342602177550898,0.019769849749474388,[RELIABLE]
MILD RISK-ON,IWM,+5d,1117,0.5371530886302597,0.0021918110288611657,0.0022765303200293907,0.025962074115961263,[RELIABLE]
MILD RISK-ON,IWM,+10d,1117,0.5747538048343778,0.004421507106767523,0.00485231804188313,0.036457201306788235,[RELIABLE]
MILD RISK-ON,IWM,+20d,1117,0.6177260519247986,0.010398508543328971,0.015873461102748676,0.05678065911682384,[RELIABLE]
RISK-ON,SPY,+1d,453,0.5584988962472406,0.0007404717689533624,0.0007861417050065711,0.006599635158125721,[RELIABLE]
RISK-ON,SPY,+3d,453,0.6203090507726269,0.002362622735581873,0.0033721671906621342,0.011468211988794419,[RELIABLE]
RISK-ON,SPY,+5d,453,0.6534216335540839,0.004105322365120334,0.00458369300614736,0.014171691516383676,[RELIABLE]
RISK-ON,SPY,+10d,453,0.717439293598234,0.008031637050036905,0.008911091133862348,0.01997662902290664,[RELIABLE]
RISK-ON,SPY,+20d,453,0.7483443708609272,0.014102589667933952,0.0177427765484508,0.028077611341801575,[RELIABLE]
RISK-ON,QQQ,+1d,453,0.5849889624724062,0.0010155395123478946,0.0012857415945253248,0.009626165563588205,[RELIABLE]
RISK-ON,QQQ,+3d,453,0.6313465783664459,0.0030749714708988565,0.004631431226028937,0.016017542001254072,[RELIABLE]
RISK-ON,QQQ,+5d,453,0.6423841059602649,0.004889928426295127,0.006476272443443731,0.0202413200662224,[RELIABLE]
RISK-ON,QQQ,+10d,453,0.7086092715231788,0.009638821460109784,0.013088330336577414,0.028699325760631098,[RELIABLE]
RISK-ON,QQQ,+20d,453,0.7130242825607064,0.016973168822943138,0.02331469065621672,0.04019780646204637,[RELIABLE]
RISK-ON,IWM,+1d,453,0.4922737306843267,0.00041512586930653243,-0.0004335059950120179,0.012481017304327977,[RELIABLE]
RISK-ON,IWM,+3d,453,0.5077262693156733,0.0011523077391852863,0.0003227897775590627,0.021900427211488674,[RELIABLE]
RISK-ON,IWM,+5d,453,0.5275938189845475,0.002914567839137072,0.0017973634169887731,0.02743899619277611,[RELIABLE]
RISK-ON,IWM,+10d,453,0.5607064017660044,0.005741668767339609,0.004978492008369528,0.03730812530009723,[RELIABLE]
RISK-ON,IWM,+20d,453,0.565121412803532,0.0066272315759450555,0.005484788118852446,0.0518743881476371,[RELIABLE]
