event_date,date,rel_day,open,high,low,close,volume,close_to_close_return_pct,gap_pct,intraday_return_pct,daily_range_pct,true_range,atr_14
2020-12-15,2020-12-18,3,263.56,264.65,259.22,259.995,622200,-1.6660363086232879,-0.3177004538577818,-1.3526331765062976,2.060251935043235,5.42999999999995,5.051785714285716
2020-12-15,2020-12-21,4,255.17,260.38,254.75,260.38,468228,0.1480797707648189,-1.855804919325378,2.0417760708547275,2.2063722224399402,5.6299999999999955,5.176071428571431
2020-12-15,2020-12-22,5,257.64,258.2,255.43,255.92,295553,-1.7128811736692557,-1.052308164989634,-0.6675981990374161,1.0751436112404837,4.949999999999989,5.251785714285717
2020-12-15,2020-12-23,6,255.35,257.31,252.57,256.11,270337,0.07424195060957571,-0.22272585182869384,0.29763070295673366,1.8562757000195846,4.740000000000009,5.074642857142858
2020-12-15,2020-12-24,7,228.47,229.89,211.25,221.84,7002747,-13.380969114833475,-10.792237710358837,-2.9019127237711713,8.158620387797079,44.860000000000014,7.927142857142859
2020-12-15,2020-12-28,8,216.82,224.96,215.37,222.57,1339587,0.3290659935088306,-2.2628921745402137,2.651969375518864,4.4230237063001585,9.590000000000003,8.299285714285716
2020-12-15,2020-12-29,9,231.655,239.17,229.81,236.32,1559367,6.177831693399829,4.0818618861481815,2.0137704776499503,4.040491247760672,16.599999999999994,9.184285714285712
2020-12-15,2020-12-30,10,243.13,243.13,234.67,238.55,628161,0.9436357481381256,2.8816858496953297,-1.8837658865627376,3.4796199564019283,8.460000000000008,9.457857142857142
2021-12-15,2021-12-01,-10,128.31,129.11,121.93,122.4,1105740,,,-4.606032265606731,5.595822617099218,7.180000000000007,6.008928571428572
2021-12-15,2021-12-02,-9,123.25,124.97,119.41,122.02,1790246,-0.31045751633987717,0.6944444444444398,-0.9979716024340803,4.511156186612578,5.560000000000002,6.003928571428573
2021-12-15,2021-12-03,-8,117.75,118.09,108.74,111.87,2237021,-8.318308474020645,-3.4994263235535126,-4.993630573248404,7.940552016985144,13.280000000000001,6.6382142857142865
2021-12-15,2021-12-06,-7,113.5,123.815,113.46,123.595,2585307,10.48091534817198,1.4570483597032229,8.894273127753303,9.123348017621149,11.944999999999993,7.314642857142858
2021-12-15,2021-12-07,-6,129.06,129.06,123.55,125.56,2811845,1.5898701403778497,4.421699906954168,-2.7119169378583603,4.26933209359988,5.510000000000005,7.472500000000003
2021-12-15,2021-12-08,-5,123.49,126.935,121.38,125.07,1223350,-0.39025167250717513,-1.648614208346613,1.2794558263827016,4.498339946554383,5.555000000000007,7.348928571428575
2021-12-15,2021-12-09,-4,124.4,127.39,123.225,123.93,1170927,-0.911489565843117,-0.5357000079955125,-0.3778135048231502,3.348070739549844,4.165000000000006,6.240357142857147
2021-12-15,2021-12-10,-3,123.32,125.2,122.785,125.01,964771,0.8714596949891052,-0.4922133462438584,1.3704184236133734,1.9583198183587467,2.4150000000000063,6.05571428571429
2021-12-15,2021-12-13,-2,122.97,123.17,119.78,122.34,568410,-2.135829133669308,-1.6318694504439692,-0.5123200780678178,2.756769943888754,5.230000000000004,6.038571428571433
2021-12-15,2021-12-14,-1,120.9,127.64,120.43,126.565,628071,3.4534902730096406,-1.1770475723393803,4.685690653432582,5.963606286186926,7.209999999999994,6.302142857142861
2021-12-15,2021-12-15,0,122.63,123.58,117.81,122.48,1035017,-3.2275905661122692,-3.109074388654053,-0.12231917149147149,4.7052107967055345,8.754999999999995,6.535000000000003
