ticker,date,gap_pct,atr,candle_color,follow_through_level,ft_bar_idx,ft_minutes_from_open,entry_price,eod_close,eod_return,mae_pct,mfe_pct,mae_price,mfe_price,price_above_entry_after_ft,bounce_above_entry_before_lod,bounce_depth_before_lod,session_low_price,session_high_price,lod_minutes_from_open,hod_minutes_from_open,gap_abs
ARKK,2025-11-04,-0.034924,2.9143,BEARISH,84.0843,62,310.0,83.99,83.59,0.004762,0.004762,0.005417,84.39,83.535,True,True,0.004762,83.535,86.69,385.0,55.0,0.034924
ARKQ,2025-04-03,-0.039813,1.965,BEARISH,64.814,2,30.0,64.79,64.375,0.006405,0.001852,0.006482,64.91,64.37,True,True,0.001852,64.37,65.6,365.0,0.0,0.039813
ARKX,2025-11-13,-0.023072,0.8043,NEUTRAL,28.0483,18,150.0,28.04,27.64,0.014265,0.003566,0.016762,28.14,27.57,True,True,0.003566,27.57,28.59,335.0,5.0,0.023072
ARM,2024-06-24,-0.024093,10.4921,NEUTRAL,152.1531,14,70.0,152.0,151.02,0.006447,0.018684,0.008586,154.84,150.695,True,True,0.018684,150.695,157.49,385.0,5.0,0.024093
ARM,2024-07-17,-0.052596,10.0254,NEUTRAL,165.3099,7,35.0,164.46,161.87,0.015749,0.01435,0.017147,166.82,161.64,True,True,0.01435,161.64,171.965,195.0,5.0,0.052596
ARM,2024-07-24,-0.030137,10.3943,BEARISH,162.2223,6,30.0,161.64,157.555,0.025272,0.015621,0.027592,164.165,157.18,True,True,0.015621,157.18,166.405,385.0,0.0,0.030137
ARM,2024-10-23,-0.034664,6.4996,BEARISH,144.7201,0,0.0,144.01,142.33,0.011666,0.030762,0.022151,148.44,140.82,True,True,0.016735,140.82,148.44,285.0,0.0,0.034664
ARM,2024-10-31,-0.058896,7.7943,BEARISH,142.1323,15,75.0,141.955,141.43,0.003698,0.003698,0.011588,142.48,140.31,True,True,0.002712,140.31,146.08,340.0,0.0,0.058896
ARM,2024-11-15,-0.023251,7.3971,BEARISH,130.2111,0,0.0,129.765,128.71,0.00813,0.02624,0.022695,133.17,126.82,True,True,0.006589,126.82,133.17,300.0,0.0,0.023251
ASML,2024-04-17,-0.035179,32.8004,BEARISH,929.2499,0,0.0,924.3,906.8,0.018933,0.01955,0.029038,942.37,897.46,True,True,0.002921,897.46,942.37,165.0,0.0,0.035179
ASML,2024-07-17,-0.084069,34.1243,BEARISH,963.5703,5,25.0,963.55,932.63,0.03209,0.005101,0.036106,968.465,928.76,True,True,0.003565,928.76,979.06,385.0,10.0,0.084069
ASML,2024-09-03,-0.028629,25.3375,NEUTRAL,867.965,8,65.0,867.175,845.815,0.024632,0.0,0.027417,867.175,843.4,False,False,-0.001274,843.4,878.715,370.0,10.0,0.028629
ASML,2024-09-20,-0.023455,31.7439,NEUTRAL,797.3024,7,35.0,797.14,795.39,0.002195,0.008913,0.00843,804.245,790.42,True,True,0.00276,790.42,810.0,105.0,0.0,0.023455
