t,Close,High,Low,n,Open,Volume,vw
2023-08-01,465.125,468.94,460.51,8739,464.41,290430,465.180503
2023-08-02,442.97,458.18,433.87,20142,458.09,780036,445.707031
2023-08-03,445.18,450.86,438.19,6741,438.19,288653,446.073457
2023-08-04,446.84,456.36,444.1,8186,449.99,346827,450.181464
2023-08-07,454.12,455.34,445.7,5868,451.18,223109,450.927258
2023-08-08,446.58,452.12,440.57,8196,448.645,333756,446.451775
2023-08-09,425.61,443.11,421.62,11983,442.77,608331,429.343796
2023-08-10,423.84,435.67,418.35,13017,421.52,547580,426.628392
2023-08-11,408.5,420.17,406.39,20852,417.41,1135720,411.883167
2023-08-14,437.62,437.81,403.11,16612,404.94,965556,423.233585
2023-08-15,439.45,452.5,437.14,16666,445.73,819422,444.897064
2023-08-16,434.78,446.65,434.17,10997,445.225,520209,439.616119
2023-08-17,433.62,440.47,430.03,10813,439.695,430064,434.769181
2023-08-18,432.87,435.635,416.74,15980,426.4,795894,426.392558
2023-08-21,469.66,470.64,442.43,13712,444.815,805375,455.644793
2023-08-22,456.66,481.685,453.37,18605,481.22,922800,462.496153
2023-08-23,471.07,471.99,452.15,18282,458.8,717640,465.070118
2023-08-24,471.62,502.66,471.62,32479,502.26,2063850,483.235291
2023-08-25,460.06,477.99,450.27,20820,470.01,1237133,460.268379
2023-08-28,468.25,469.68,449.0,14350,464.79,772574,459.862406
2023-08-29,487.84,490.68,464.04,10595,467.0,659124,482.738367
2023-08-30,492.82,499.21,484.27,11894,490.49,617406,493.175718
2023-08-31,493.63,497.14,489.6,17267,493.775,586429,494.495646
2023-09-01,484.9,497.75,481.49,11331,497.75,441372,487.397122
2023-09-05,485.32,488.43,479.5,8989,482.08,379515,484.254952
2023-09-06,470.73,485.4,465.91,10112,484.66,470143,471.361578
2023-09-07,462.41,463.43,451.72,11619,454.74,589031,457.785764
2023-09-08,455.6,465.73,453.0,10342,459.58,581020,457.296783
2023-09-11,451.78,460.95,443.19,15117,460.6,535595,448.904569
2023-09-12,448.81,456.5,445.445,6786,447.36,329954,451.905268
2023-09-13,454.81,459.25,445.09,16319,445.895,411784,454.198102
2023-09-14,455.91,459.625,451.44,13272,459.35,374759,455.700406
2023-09-15,438.83,455.91,438.11,16027,453.64,501182,443.402592
2023-09-18,439.57,442.27,423.03,10353,427.36,681107,433.732002
2023-09-19,435.21,439.4,430.21,9775,438.21,369195,434.429772
2023-09-20,422.39,438.92,422.31,7254,435.98,374328,431.03868
2023-09-21,410.13,420.86,409.81,12123,415.77,1079307,415.616034
2023-09-22,416.01,421.0,412.53,14639,416.255,477029,417.240514
2023-09-25,422.26,425.35,411.92,12536,415.925,628554,420.456088
2023-09-26,419.04,428.17,416.65,12031,420.28,455337,421.634629
2023-09-27,424.89,428.61,416.38,8906,423.15,577930,422.222903
2023-09-28,430.79,434.27,421.235,11642,424.545,517586,428.998609
2023-09-29,434.99,441.31,433.12,7475,438.48,363243,437.218028
2023-10-02,447.97,451.7,438.85,11301,440.34,616632,446.609534
2023-10-03,435.365,451.06,432.7,15529,448.19,505703,440.746117
2023-10-04,440.06,441.36,432.95,7450,437.42,383083,437.883706
2023-10-05,446.8,448.99,438.95,8594,440.5,388781,444.402314
2023-10-06,457.56,457.83,440.38,8638,442.565,487025,452.057195
2023-10-09,452.73,455.87,443.73,7508,448.4,422141,448.270669
2023-10-10,457.95,462.38,451.15,13512,453.33,437762,457.871259
2023-10-11,468.04,468.31,460.63,6587,461.93,329059,464.509297
2023-10-12,469.33,476.08,463.54,11564,467.81,436130,470.539327
2023-10-13,454.65,470.56,452.805,8453,469.575,440243,459.755793
2023-10-16,460.62,462.04,449.24,6509,450.37,299870,458.064245
2023-10-17,439.49,447.405,425.08,24399,439.99,1061719,437.004799
2023-10-18,421.89,432.16,418.35,12785,426.0,829304,424.050245
2023-10-19,421.01,432.68,418.82,9645,428.1,621297,425.886787
2023-10-20,413.64,424.58,410.88,9676,418.58,528156,416.332662
2023-10-23,429.71,432.43,409.57,8715,412.26,527754,424.685901
2023-10-24,436.51,436.95,427.24,7403,430.64,304569,431.616326
2023-10-25,417.85,436.42,415.64,13273,433.91,518621,425.688096
2023-10-26,402.745,422.33,398.88,17128,418.97,792736,407.154939
2023-10-27,404.95,411.97,400.21,10232,411.295,520038,405.547697
2023-10-30,411.51,417.59,404.86,9241,410.99,383849,411.148492
2023-10-31,407.8,408.72,392.42,13208,404.23,626644,400.99497
2023-11-01,423.07,423.78,409.67,9595,409.67,542652,417.278486
2023-11-02,435.09,438.79,428.95,9526,433.28,530655,434.418971
2023-11-03,449.96,453.04,437.27,9516,440.2,509424,445.721883
2023-11-06,457.53,459.26,449.0,7287,453.13,386977,454.953725
2023-11-07,459.67,462.14,451.66,5636,457.33,298250,458.724539
2023-11-08,465.63,468.59,460.0,5079,460.87,258754,464.559048
2023-11-09,469.555,482.28,467.6,10351,474.64,553743,475.479606
2023-11-10,483.4,484.72,473.18,7995,474.83,396486,480.096448
2023-11-13,486.15,491.07,481.09,7276,483.76,368286,487.617098
2023-11-14,496.7,498.27,490.46,9215,496.6,598798,495.037378
2023-11-15,489.03,499.37,482.02,8916,499.37,496438,489.504167
2023-11-16,494.89,495.135,483.37,7569,486.76,496329,488.404858
2023-11-17,492.91,496.77,490.18,5717,494.89,321962,493.514594
2023-11-20,504.25,505.425,491.84,9312,493.53,519180,498.742816
2023-11-21,499.93,504.97,492.29,10217,500.05,552936,498.309619
2023-11-22,487.06,503.22,477.66,13805,498.7,858012,487.247386
2023-11-24,477.58,489.19,477.49,4654,484.525,224087,481.418739
2023-11-27,482.61,485.27,476.59,10055,477.885,396781,482.11873
2023-11-28,478.2,483.14,474.885,6397,482.36,345188,478.223154
2023-11-29,481.19,487.465,479.05,6434,483.71,345171,482.516426
2023-11-30,467.71,481.035,464.35,10184,479.99,591960,469.186902
2023-12-01,467.51,471.73,461.99,7155,465.185,397058,467.406571
2023-12-04,455.03,460.42,450.13,8873,460.42,500539,454.685297
2023-12-05,465.86,465.98,452.88,7043,454.61,374198,461.856274
2023-12-06,455.13,473.76,454.15,6886,472.18,338424,462.527202
2023-12-07,465.925,466.28,456.08,5837,457.23,312244,462.792215
2023-12-08,475.03,477.28,465.96,5524,466.64,265988,473.468452
2023-12-11,466.22,474.865,458.455,9470,474.865,578352,464.795989
2023-12-12,476.63,476.63,460.625,7776,460.625,469740,471.578528
