ticker,date,direction,gap_bucket,candle_tier,win,eod_return,hod_pct,lod_pct,hod_atr,lod_atr,reverse_ft_minutes,cs_bar1,cs_at_ft,cs_prior,cs_slope_raw,ts_slope,ts_level_at_ft,ft_bar_number,ft_bar_candle
APLD,2024-05-23 04:00:00+00:00,GAP_UP,2-5%,BULLISH,1,0.021889,0.029954,0.03341,0.3978,0.4437,350.0,-57.81,-100.0,-37.91,-62.09,TS_FALLING,BEARISH,34,BEARISH
APLD,2024-06-04 04:00:00+00:00,GAP_UP,2-5%,BEARISH,0,-0.048148,0.085185,0.020988,0.9379,0.2311,145.0,98.04,100.0,100.0,0.0,TS_FLAT,BULLISH,26,BULLISH
APLD,2024-06-26 04:00:00+00:00,GAP_UP,2-5%,BULLISH,1,0.075211,0.109747,0.092095,1.1141,0.9349,215.0,64.99,-100.0,-100.0,0.0,TS_FLAT,BEARISH,43,BEARISH
APLD,2024-07-11 04:00:00+00:00,GAP_UP,2-5%,BULLISH,1,0.03928,0.032733,0.072831,0.2555,0.5684,115.0,21.08,-45.9,36.04,-81.94,TS_FALLING,BEARISH,23,BEARISH
APLD,2024-09-05 04:00:00+00:00,GAP_UP,12%+,BEARISH,0,-0.079477,0.146881,0.144869,1.2719,1.2545,60.0,100.0,80.7,84.62,-3.91,TS_FLAT,BULLISH,12,BULLISH
APLD,2025-05-13 04:00:00+00:00,GAP_UP,2-5%,MAX_BULLISH,0,-0.021898,0.034672,0.041058,0.4691,0.5556,140.0,83.35,-45.93,25.33,-71.26,TS_FALLING,BEARISH,28,BEARISH
APLD,2025-09-12 04:00:00+00:00,GAP_UP,2-5%,MAX_BEARISH,0,-0.064121,0.066401,0.016244,1.0303,0.2521,15.0,-100.0,5.45,,,UNKNOWN,NEUTRAL,3,BULLISH
APLD,2026-01-02 05:00:00+00:00,GAP_UP,2-5%,BEARISH,0,-0.109838,0.122679,0.025682,1.1908,0.2493,60.0,-49.98,100.0,100.0,0.0,TS_FLAT,BULLISH,12,BULLISH
APLD,2026-01-26 05:00:00+00:00,GAP_UP,2-5%,BULLISH,1,0.063058,0.077302,0.074971,0.8016,0.7775,305.0,24.68,-100.0,-40.85,-59.15,TS_FALLING,BEARISH,61,NEUTRAL
APLD,2024-02-02,GAP_DN,2-5%,BULLISH,0,-0.038934,0.029713,0.042008,0.2929,0.4141,255.0,-11.07,-100.0,-100.0,0.0,TS_FLAT,BEARISH,34,NEUTRAL
