event_date,news_count_total,news_count_pre_open,news_count_intraday,pre_open_flag,intraday_flag,top_headline,top_source,prev_close,open_price,open_gap_pct,day_high_rth,open_to_high_pct_rth,close_price,open_to_close_pct,tplus1_return_pct,tplus3_return_pct,event_volume,avg_volume_6mo,volume_spike_ratio,time_to_high_minutes,firsthour_open_to_high_pct
2024-09-09,1,0,1,False,True,"Cannabinoid Treatment Significantly Reduces Fibromyalgia Pain And Improves Quality Of Life, New Tilray-Backed Study Finds",benzinga,1.625,1.66,2.153846153846149,1.73,4.216867469879522,1.7,2.40963855421687,-0.29411764705881727,-0.29411764705881727,675942.0,333464.9682539682,2.027025517970451,195.0,3.91566265060242
2024-09-10,3,3,0,True,False,"Marijuana Stock Movers For September 9, 2024",benzinga,1.7,1.705,0.2941176470588303,1.705,0.0,1.695,-0.5865102639296192,1.4749262536873105,2.654867256637164,597335.0,336576.55555555556,1.7747373967091522,0.0,0.0
2024-09-11,1,1,0,True,False,Last Call For SNDL's Liquor President: Stock On The Rocks Amid Leadership Changes,benzinga,1.695,1.69,-0.29498525073746995,1.73,2.3668639053254457,1.72,1.7751479289940846,-1.453488372093018,4.651162790697678,336585.0,340547.4682539682,0.9883644172300434,338.0,0.2958579881656873
2024-09-13,1,1,0,True,False,"Billion-Dollar Marijuana Giant Buys Another Brewery From Molson Coors, Expands Great Lakes Footprint",benzinga,1.695,1.72,1.4749262536873105,1.745,1.453488372093031,1.74,1.1627906976744196,3.448275862068969,2.8735632183908075,606438.0,347269.2698412698,1.7463048206862395,360.0,0.0
2024-09-16,1,0,1,False,True,"This European Country Could Lose $242M A Year If It Doesn't Regulate Its Marijuana Market, Study Finds",benzinga,1.74,1.74,0.0,1.805,3.735632183908043,1.8,3.448275862068969,1.111111111111112,-1.3888888888888962,341718.0,351138.4603174603,0.9731716647930182,322.0,1.4367816091953973
2024-09-17,2,1,1,True,True,"Marijuana Stock Movers For September 16, 2024",benzinga,1.8,1.82,1.111111111111112,1.87,2.7472527472527495,1.82,0.0,-1.6483516483516498,-6.043956043956049,497739.0,352710.77777777775,1.4111817141964287,111.0,1.3736263736263687
2024-09-18,2,2,0,True,False,Tilray Medical Announced The Launch Of Redecan EU-GMP Certified Medical Cannabis Products In Australia,benzinga,1.82,1.82,0.0,1.86,2.1978021978021998,1.79,-1.6483516483516498,-0.8379888268156493,-5.3072625698324005,331949.0,353041.38095238095,0.9402552162710186,272.0,1.0989010989010999
2024-09-23,2,1,1,True,True,"Cannabis Stock Movers For September 20, 2024",benzinga,1.71,1.725,0.8771929824561476,1.73,0.2898550724637619,1.695,-1.7391304347826102,1.4749262536873105,2.359882005899707,428413.0,358307.3095238095,1.195657996956191,0.0,0.2898550724637619
2024-09-26,1,0,1,False,True,"""National Agriculture Regulators Group Grapples With Intoxicating Hemp For The First Time; FDA's Norm Birenbaum Says Existing FDA Regulatory Frameworks 'Do Not Apply To Large Segments Of The Market, Like Inhalable Products, Where We Have Tremendous Concerns'"" - Cannabis Wire",benzinga,1.69,1.71,1.1834319526627228,1.755,2.6315789473684172,1.735,1.461988304093575,-0.2881844380403525,-2.593659942363121,642371.0,361401.71428571426,1.7774431459729025,358.0,0.0
2024-09-30,2,0,2,False,True,"""Kamala Harris Says 'We Need To Legalize' Marijuana For First Time As Democratic Presidential Nominee"" - Marijuana Moment",benzinga,1.73,1.74,0.5780346820809253,1.85,6.321839080459776,1.76,1.1494252873563229,-3.9772727272727306,-3.4090909090909123,645249.0,362887.7380952381,1.7780953508841282,104.0,1.7241379310344844
2024-10-01,2,0,2,False,True,Lawmakers Urge DEA To Finalize Marijuana Rescheduling Proposal,benzinga,1.76,1.76,0.0,1.77,0.5681818181818187,1.69,-3.9772727272727306,-0.8875739644970357,-0.29585798816567416,785789.0,366350.48412698414,2.1449104997705706,0.0,0.5681818181818187
2024-10-02,1,1,0,True,False,"Cannabis Stock Gainers And Losers From October 1, 2024",benzinga,1.69,1.68,-0.5917159763313614,1.69,0.5952380952380958,1.675,-0.2976190476190413,1.4925373134328304,-1.1940298507462697,918400.0,371082.8015873016,2.4749193335599404,338.0,0.0
2024-10-07,1,0,1,False,True,Two Cannabis Power Houses Team Up: Tilray Brings CBD Gummies From US Medical Marijuana Pioneer To Canada,benzinga,1.685,1.705,1.1869436201780426,1.705,0.0,1.655,-2.9325513196480966,-0.6042296072507558,-3.927492447129906,499714.0,380056.84126984124,1.3148401653035944,0.0,0.0
2024-10-10,1,1,0,True,False,"Nasdaq, S&P 500 Futures Slip As September CPI Data Looms, Tesla On Radar Ahead Of Robotaxi Event: Strategist Offers Stock Tips Aligned With Presidential Candidates' Trade Policies",benzinga,1.63,1.625,-0.3067484662576622,1.625,0.0,1.59,-2.153846153846149,2.201257861635215,-1.5723270440251655,510856.0,388464.07936507935,1.3150662497159653,0.0,0.0
2024-10-11,2,2,0,True,False,"Marijuana Stock Movers For October 10, 2024",benzinga,1.59,1.58,-0.6289308176100634,1.645,4.113924050632908,1.625,2.84810126582278,-2.153846153846149,-3.384615384615381,320922.0,390613.7619047619,0.8215839565792004,174.0,0.3164556962025249
2024-10-16,1,0,1,False,True,Billion-Dollar Cannabis And Beverage Giant Brings  Oktoberfest Vibes To Your Glass With New Craft Beers,benzinga,1.565,1.58,0.9584664536741293,1.585,0.3164556962025249,1.57,-0.6329113924050638,0.0,0.6369426751592362,282844.0,392591.20634920633,0.7204542420351943,0.0,0.3164556962025249
2024-10-22,1,0,1,False,True,"""Legislative Committee In Ireland Calls For Marijuana Legalization And Decriminalization Of 'All Illicit Drugs'"" - Marijuana Moment",benzinga,1.58,1.58,0.0,1.725,9.177215189873419,1.71,8.227848101265815,-2.3391812865497097,-1.1695906432748548,724707.0,389380.0238095238,1.8611817650781974,201.0,1.2658227848101276
2024-10-23,3,3,0,True,False,"Cannabis Stock Movers For October 22, 2024",benzinga,1.71,1.69,-1.1695906432748548,1.74,2.9585798816568074,1.67,-1.1834319526627228,-1.4970059880239468,2.994011976047907,830416.0,393782.74603174604,2.1088176370557723,149.0,1.4792899408284104
2024-10-24,1,1,0,True,False,EXCLUSIVE: Tilray CEO Irwin Simon On Why US Cannabis Rescheduling Won't Change A Billion-Dollar Play,benzinga,1.67,1.685,0.8982035928143787,1.715,1.7804154302670638,1.645,-2.373887240356085,2.7355623100303905,4.559270516717322,412681.0,398457.4365079365,1.0356965692916116,10.0,1.7804154302670638
2024-10-29,1,1,0,True,False,"Canada's Cannabis Market Goes Cold, Pot Prices Hit Bottom: Why Top Producers Are Losing Ground",benzinga,1.72,1.71,-0.5813953488372098,1.77,3.5087719298245648,1.72,0.5847953216374274,-1.7441860465116297,-4.069767441860469,1128519.0,403277.18253968254,2.7983705720542558,97.0,1.7543859649122824
2024-10-30,1,1,0,True,False,"Beyond Beer, Tilray's $1.67 Billion Market Play: Is This Cannabis Giant Still A Smart Buy?",benzinga,1.72,1.71,-0.5813953488372098,1.72,0.5847953216374274,1.69,-1.1695906432748548,-2.9585798816568074,2.0710059171597717,331747.0,398864.90476190473,0.8317277254513792,66.0,0.2923976608187202
2024-10-31,2,1,1,True,True,"Trump, Harris And Cannabis Stocks: Are Election Results Already Priced In?",benzinga,1.69,1.68,-0.5917159763313614,1.68,0.0,1.64,-2.380952380952383,0.6097560975609762,7.317073170731714,237262.0,388520.4682539682,0.6106808247870907,0.0,0.0
2024-11-04,1,1,0,True,False,"Tilray, High Tide, Glass House: How Top Cannabis Companies Deal With Financial Pressures",benzinga,1.65,1.68,1.81818181818182,1.815,8.035714285714286,1.725,2.6785714285714377,2.028985507246372,-10.144927536231886,1259276.0,390630.9365079365,3.223697567984135,65.0,6.845238095238095
2024-11-06,2,1,1,True,True,AP Reports Florida Voters Reject Cannabis Legalization; Amendment 3 Did Not Secure 60% Of Vote,benzinga,1.76,1.635,-7.1022727272727275,1.68,2.752293577981647,1.55,-5.1987767584097835,0.0,-9.35483870967742,1218036.0,397339.14285714284,3.065482024351993,0.0,2.752293577981647
2024-11-07,4,1,3,True,True,Cannabis Stocks Collapse After Trump Win: Major Players See Double-Digit Declines At Wednesday's Close,benzinga,1.55,1.55,0.0,1.565,0.9677419354838646,1.55,0.0,-3.2258064516129057,-5.483870967741932,671468.0,399643.8253968254,1.6801660812181132,168.0,0.0
2024-11-12,1,0,1,False,True,Cannabis Stocks Pop Following Chris Christie's Prediction That Trump Will Deschedule Cannabis,benzinga,1.405,1.4,-0.3558718861210047,1.51,7.857142857142866,1.465,4.642857142857156,-1.0238907849829437,-8.532423208191126,1382199.0,409961.0238095238,3.3715375846124283,144.0,2.85714285714286
2024-11-13,1,0,1,False,True,"'Newly Elected Republican Senate Majority Leader Opposes Marijuana Legalization, Rescheduling And Industry Banking Access' - Marijuana Moment",benzinga,1.465,1.475,0.6825938566552906,1.475,0.0,1.45,-1.6949152542372972,-4.482758620689651,-9.310344827586208,989604.0,415966.1984126984,2.3790490760457663,0.0,0.0
2024-11-14,1,1,0,True,False,"Tilray Medical, A Division Of Tilray Brands Announced The Launch Of Its First Commercial German Grown Medical Cannabis Flowers From Its Aphria RX Facility",benzinga,1.45,1.44,-0.6896551724137937,1.44,0.0,1.385,-3.8194444444444406,-3.2490974729241824,-4.693140794223822,512574.0,417190.9126984127,1.2286317472368813,0.0,0.0
2024-11-15,1,1,0,True,False,Tilray Joins German Cannabis Fiesta With First Locally Grown Strains,benzinga,1.385,1.38,-0.3610108303249181,1.38,0.0,1.34,-2.898550724637668,-1.8656716417910546,-3.358208955223892,501323.0,411908.4126984127,1.2170739527164114,0.0,0.0
2024-11-22,2,2,0,True,False,Cannabis Stocks Feel The Burn: Matt Gaetz Bows Out As Trump's Attorney General Nominee,benzinga,1.315,1.305,-0.7604562737642593,1.385,6.130268199233722,1.34,2.681992337164762,5.597014925373131,1.865671641791038,389487.0,418994.28571428574,0.9295759232993289,100.0,3.4482758620689773
2024-11-25,1,0,1,False,True,"Tom Angell Says ""DEA says it is in the process of preparing public access to the cannabis rescheduling proceedings docket. For now, read Marijuana Moment's coverage of the latest significant filings:"", 'DEA And Anti-Marijuana Group Deny Allegations They Conspired During Rescheduling Process' - Marijuana Moment",benzinga,1.34,1.365,1.865671641791038,1.45,6.2271062271062245,1.415,3.663003663003666,-3.886925795052999,-5.300353356890456,595687.0,420738.1666666667,1.415814031608732,285.0,1.831501831501825
2024-11-26,3,0,3,False,True,'Democratic Congressional Lawmakers Push Biden To Issue Marijuana Executive Order Before Trump Takes Office' - Marijuana Moment,benzinga,1.415,1.41,-0.35335689045937213,1.41,0.0,1.36,-3.5460992907801296,0.36764705882352156,-2.2058823529411784,801887.0,425204.4365079365,1.885885779051679,0.0,0.0
2024-11-27,1,0,1,False,True,"'DEA Judge Won't Remove Agency From Marijuana Rescheduling Hearing, But Raises Concerns About Alleged Unlawful Contact With Prohibitionists' - Marijuana Moment",benzinga,1.36,1.365,0.36764705882352156,1.38,1.0989010989010917,1.365,0.0,-1.831501831501825,-5.128205128205133,554819.0,431181.626984127,1.2867408193634013,110.0,0.7326007326007333
2024-12-04,1,0,1,False,True,Decibel Cannabis: One Acquisition Could Be The Key To Unlocking $20M In Cash Flow,benzinga,1.295,1.295,0.0,1.305,0.7722007722007729,1.28,-1.1583011583011509,1.1718749999999925,2.734374999999994,383716.0,441148.6111111111,0.869811193632783,33.0,0.7722007722007729
2024-12-05,1,0,1,False,True,Are You Missing Out On This NASDAQ-Listed Weed Stock? Low-Cost Model Meets European Demand,benzinga,1.28,1.29,0.7812500000000007,1.33,3.1007751937984525,1.295,0.3875968992247979,-1.5444015444015458,-1.930501930501924,646308.0,443743.873015873,1.456488842555537,343.0,1.5503875968992262
2024-12-09,1,0,1,False,True,EXCLUSIVE: Drug Expert Dr. Carl Hart Slams Cannabis Prohibition Amid Hemp-THC Surge,benzinga,1.275,1.29,1.176470588235304,1.37,6.201550387596905,1.315,1.937984496124024,-3.422053231939158,-8.365019011406835,580936.0,450004.04761904763,1.2909572771038567,64.0,5.426356589147292
