ticker,date,direction,gap_pct,abs_gap_pct,gap_bucket,atr,open_price,prev_close,cs_score,candle_tier,session_high,session_low,eod_close,hod_pct,lod_pct,hod_atr,lod_atr,hod_minutes,lod_minutes,hod_timing_bucket,lod_timing_bucket,eod_return,win,std_ft_fired,std_ft_minutes,reverse_ft_fired,reverse_ft_minutes
NNE,2025-03-21,GAP_DN,-0.038499,0.038499,2-5%,2.2618,29.72,30.91,8.38,NEUTRAL,30.57,29.6,30.195,0.0286,0.004038,0.3758,0.0531,375.0,230.0,LAST_HOUR,MID_SESSION,0.015983,1,False,,False,
NNE,2025-03-25,GAP_DN,-0.023488,0.023488,2-5%,2.2632,32.22,32.995,59.67,BULLISH,33.18,30.81,31.63,0.029795,0.043762,0.4242,0.623,5.0,145.0,AT_OPEN,MID_SESSION,-0.018312,0,False,,True,125.0
NNE,2025-04-30,GAP_DN,-0.035653,0.035653,2-5%,1.6111,22.45,23.28,-12.47,BEARISH,22.815,21.98,22.79,0.016258,0.020935,0.2266,0.2917,385.0,5.0,LAST_HOUR,AT_OPEN,0.015145,1,False,,False,
NNE,2025-05-05,GAP_DN,-0.03041,0.03041,2-5%,1.5911,23.435,24.17,-48.22,NEUTRAL,23.605,22.79,23.33,0.007254,0.027523,0.1068,0.4054,310.0,90.0,LAST_HOUR,FIRST_2HR,-0.00448,0,False,,False,
NNE,2025-05-06,GAP_DN,-0.028504,0.028504,2-5%,1.66,22.665,23.33,10.28,NEUTRAL,25.14,22.52,25.11,0.109199,0.006398,1.491,0.0873,385.0,30.0,LAST_HOUR,FIRST_30MIN,0.107876,1,False,,False,
NNE,2025-05-19,GAP_DN,-0.047444,0.047444,2-5%,1.8296,25.9,27.19,15.41,BULLISH,27.0,25.75,26.85,0.042471,0.005792,0.6012,0.082,40.0,0.0,FIRST_HOUR,AT_OPEN,0.03668,1,True,15.0,False,
NNE,2025-05-30,GAP_DN,-0.057612,0.057612,5-8%,2.9839,29.28,31.07,-0.39,BULLISH,31.45,28.935,30.11,0.074112,0.011783,0.7272,0.1156,5.0,235.0,AT_OPEN,MID_SESSION,0.028347,1,True,0.0,False,
NNE,2025-06-12,GAP_DN,-0.031524,0.031524,2-5%,3.3993,33.18,34.26,-6.27,NEUTRAL,34.15,32.285,32.285,0.029234,0.026974,0.2854,0.2633,250.0,385.0,MID_SESSION,LAST_HOUR,-0.026974,0,False,,False,
NNE,2025-06-13,GAP_DN,-0.049713,0.049713,2-5%,2.8554,30.68,32.285,-100.0,BULLISH,31.86,30.31,30.52,0.038462,0.01206,0.4133,0.1296,165.0,310.0,MID_SESSION,LAST_HOUR,-0.005215,0,False,,False,
NNE,2025-07-01,GAP_DN,-0.034948,0.034948,2-5%,3.5614,33.275,34.48,-100.0,MAX_BEARISH,33.275,31.75,32.495,0.0,0.04583,0.0,0.4282,0.0,95.0,AT_OPEN,FIRST_2HR,-0.023441,0,True,95.0,False,
NNE,2025-08-01,GAP_DN,-0.02835,0.02835,2-5%,2.9896,34.445,35.45,-78.88,MAX_BEARISH,34.75,33.25,34.02,0.008855,0.034693,0.102,0.3997,75.0,30.0,FIRST_2HR,FIRST_30MIN,-0.012339,0,False,,False,
NNE,2025-08-29,GAP_DN,-0.023761,0.023761,2-5%,2.0757,33.69,34.51,-18.48,BEARISH,33.69,32.125,32.57,0.0,0.046453,0.0,0.754,0.0,45.0,AT_OPEN,FIRST_HOUR,-0.033244,0,True,15.0,False,
NNE,2025-09-02,GAP_DN,-0.064169,0.064169,5-8%,2.1118,30.48,32.57,-83.04,NEUTRAL,32.615,29.92,32.615,0.070046,0.018373,1.011,0.2652,385.0,0.0,LAST_HOUR,AT_OPEN,0.070046,1,False,,False,
NNE,2025-09-22,GAP_DN,-0.066796,0.066796,5-8%,2.5693,43.17,46.26,-100.0,MAX_BEARISH,45.97,41.28,45.34,0.06486,0.04378,1.0898,0.7356,340.0,5.0,LAST_HOUR,AT_OPEN,0.050266,1,True,0.0,True,120.0
NNE,2025-09-25,GAP_DN,-0.055764,0.055764,5-8%,2.9554,40.215,42.59,-100.0,BULLISH,41.935,38.63,41.4,0.04277,0.039413,0.582,0.5363,335.0,10.0,LAST_HOUR,FIRST_30MIN,0.029467,1,True,140.0,True,10.0
NNE,2025-10-08,GAP_DN,-0.087653,0.087653,8-12%,4.9104,51.575,56.53,-100.0,NEUTRAL,52.97,47.0,47.02,0.027048,0.088706,0.2841,0.9317,30.0,385.0,FIRST_30MIN,LAST_HOUR,-0.088318,0,False,,False,
NNE,2025-10-14,GAP_DN,-0.041349,0.041349,2-5%,5.2204,52.165,54.415,-16.21,BULLISH,56.98,52.165,54.35,0.092303,0.0,0.9223,0.0,20.0,0.0,FIRST_30MIN,AT_OPEN,0.041886,1,True,15.0,False,
NNE,2025-10-17,GAP_DN,-0.031772,0.031772,2-5%,6.0443,46.93,48.47,70.38,MAX_BULLISH,48.62,45.37,47.83,0.036011,0.033241,0.2796,0.2581,45.0,125.0,FIRST_HOUR,MID_SESSION,0.019177,1,False,,False,
NNE,2025-10-21,GAP_DN,-0.025288,0.025288,2-5%,6.4171,44.905,46.07,-38.24,NEUTRAL,44.905,41.83,42.12,0.0,0.068478,0.0,0.4792,0.0,365.0,AT_OPEN,LAST_HOUR,-0.06202,0,False,,False,
NNE,2025-10-30,GAP_DN,-0.025013,0.025013,2-5%,4.9632,46.58,47.775,2.54,NEUTRAL,49.06,45.8,47.07,0.053242,0.016745,0.4997,0.1572,35.0,5.0,FIRST_HOUR,AT_OPEN,0.01052,1,False,,False,
NNE,2025-11-03,GAP_DN,-0.034258,0.034258,2-5%,4.5454,45.95,47.58,-17.23,BULLISH,46.12,42.93,45.26,0.0037,0.065724,0.0374,0.6644,0.0,60.0,AT_OPEN,FIRST_HOUR,-0.015016,0,False,,True,45.0
NNE,2025-11-04,GAP_DN,-0.051038,0.051038,5-8%,4.0693,42.95,45.26,-49.5,NEUTRAL,44.12,41.58,41.6,0.027241,0.031898,0.2875,0.3367,25.0,385.0,FIRST_30MIN,LAST_HOUR,-0.031432,0,False,,False,
NNE,2025-11-07,GAP_DN,-0.026394,0.026394,2-5%,3.985,37.44,38.455,-79.8,MAX_BEARISH,39.2,35.05,39.2,0.047009,0.063835,0.4417,0.5997,385.0,5.0,LAST_HOUR,AT_OPEN,0.047009,1,True,5.0,True,370.0
NNE,2025-11-11,GAP_DN,-0.022955,0.022955,2-5%,3.7286,37.03,37.9,-20.83,NEUTRAL,37.03,35.67,36.17,0.0,0.036727,0.0,0.3647,0.0,365.0,AT_OPEN,LAST_HOUR,-0.023224,0,False,,False,
