tier,binary,n,confidence,holding_days,win_rate,mean_return,median_return,std,avg_winner,avg_loser,profit_factor
STRONG_BULL,BULLISH,349,✅ RELIABLE,19,0.4785100286532951,2.2404153427708486,-0.7687480389080671,40.12541877854395,20.460849222001407,-14.478334425534115,1.2967317194858052
STRONG_BULL,BULLISH,349,✅ RELIABLE,20,0.48424068767908307,3.704865899993235,-0.43355082417583246,44.188429709521515,22.84113985991965,-14.261969095715454,1.5036698144632927
BULL,BULLISH,180,✅ RELIABLE,1,0.5277777777777778,1.0344979377509869,0.38730546785114806,8.714345240191832,5.733369429186317,-4.217181964441441,1.5194704742904162
BULL,BULLISH,180,✅ RELIABLE,2,0.5555555555555556,1.7211317590871538,0.5969777814455528,10.824523360093606,7.261983254642014,-5.204932610356421,1.7440147160101107
BULL,BULLISH,180,✅ RELIABLE,3,0.5333333333333333,1.5516594891050608,0.4507582407016787,10.879688172618264,7.875706325076616,-5.675822609148145,1.585815457683917
BULL,BULLISH,180,✅ RELIABLE,4,0.5611111111111111,1.4218018639665582,0.7660639888900828,10.947913177954797,7.7559031096413955,-6.67622631088355,1.4852364794058561
BULL,BULLISH,180,✅ RELIABLE,5,0.5222222222222223,1.5997495295888664,0.39457768505178353,11.353746421622185,8.864855613611658,-6.341180376203488,1.5280267663528582
BULL,BULLISH,180,✅ RELIABLE,6,0.5333333333333333,1.6841388081407787,1.0739262933736946,11.802020539361772,9.586087409371054,-7.346659593265253,1.4912258188599976
BULL,BULLISH,180,✅ RELIABLE,7,0.5388888888888889,1.9029416732749742,1.326959099655888,12.695850096368734,10.408233085966486,-8.036977206617516,1.513484280721415
BULL,BULLISH,180,✅ RELIABLE,8,0.5722222222222222,2.8907083425583524,1.6239232661000371,14.718596545457217,11.730676868206864,-8.934184620322121,1.7563644930947644
BULL,BULLISH,180,✅ RELIABLE,9,0.5754189944134078,2.637832345149958,2.1443267833210666,15.516408585521301,11.614755383764106,-9.528260720340265,1.6520381338823091
BULL,BULLISH,180,✅ RELIABLE,10,0.5977653631284916,3.5475619442317714,2.397266738395916,18.167011012282224,12.921166385487943,-10.38265576707948,1.8494583047695903
BULL,BULLISH,180,✅ RELIABLE,11,0.5754189944134078,3.0053378759402896,2.666507234246089,19.345140493693386,13.372565127148507,-11.04498326714453,1.640866663626713
BULL,BULLISH,180,✅ RELIABLE,12,0.5810055865921788,3.5361636536075682,3.1801805808833237,19.38542892992824,14.22537578935728,-11.286210507965361,1.7477836705231604
BULL,BULLISH,180,✅ RELIABLE,13,0.601123595505618,4.291377460093221,2.6997478528090744,20.125179122676556,14.813155365395339,-11.565386425362085,1.9302468782771387
BULL,BULLISH,180,✅ RELIABLE,14,0.601123595505618,4.175963991941736,2.291294034666648,19.946434369035327,14.76524243256615,-11.782526052379566,1.8885461513464115
BULL,BULLISH,180,✅ RELIABLE,15,0.6067415730337079,4.15529983915771,2.208512344754154,19.91500538227673,14.604843465524183,-11.966853184379135,1.8829667844933557
BULL,BULLISH,180,✅ RELIABLE,16,0.5674157303370787,4.362087160397054,2.9273737412055647,20.58430477751591,16.39097623685527,-11.4160660437884,1.8832977896744227
BULL,BULLISH,180,✅ RELIABLE,17,0.5730337078651685,4.500256671578842,3.339652552184268,21.378427425784867,17.144938680605197,-12.470237603693368,1.8452184449913398
BULL,BULLISH,180,✅ RELIABLE,18,0.5786516853932584,5.9111166479304975,2.971605360527349,23.24950993829306,18.765495838708134,-11.742230774070793,2.1947516998843195
BULL,BULLISH,180,✅ RELIABLE,19,0.5617977528089888,6.201002894370113,3.8956608627506,24.25239518330547,20.35813822300115,-11.949170603874803,2.184266847818896
BULL,BULLISH,180,✅ RELIABLE,20,0.5617977528089888,6.026624143769893,3.7057710199311997,25.57564249628697,20.87265574531784,-13.006749704368497,2.05737910441316
WEAK_BULL,BULLISH,123,✅ RELIABLE,1,0.5284552845528455,0.8093384507513108,0.2618653496513071,7.013050085049043,4.852947777418592,-3.722292691203401,1.4611017516429323
WEAK_BULL,BULLISH,123,✅ RELIABLE,2,0.5203252032520326,0.7224097875588642,0.3919279519679777,7.534404379528849,5.566177898603131,-4.531847146455256,1.332323817393736
WEAK_BULL,BULLISH,123,✅ RELIABLE,3,0.5040650406504065,1.4545526597381617,0.27224530735062,10.087741622000014,7.889556570392517,-5.085943118303971,1.5766777914779082
WEAK_BULL,BULLISH,123,✅ RELIABLE,4,0.5934959349593496,2.0443587955296234,1.2857977790765687,10.951313490431282,8.153670481640072,-6.8752362661916315,1.73148360904092
WEAK_BULL,BULLISH,123,✅ RELIABLE,5,0.5447154471544715,1.526928816919899,0.414181577203446,10.658230581138726,8.025257785581625,-6.247857627728953,1.5367904135868677
WEAK_BULL,BULLISH,123,✅ RELIABLE,6,0.5934959349593496,1.879378998187416,1.6472868217054288,10.8535337469543,8.409997734949204,-7.6553243574847984,1.6039289936840824
WEAK_BULL,BULLISH,123,✅ RELIABLE,7,0.5934959349593496,1.7976033793421924,1.4211714703147738,12.219839554019538,8.849397647565091,-8.498016252263241,1.5203690110623256
WEAK_BULL,BULLISH,123,✅ RELIABLE,8,0.5691056910569106,1.9473659308238964,1.6242937853107338,12.57549643889039,9.826574959594128,-8.45913656000471,1.5342576795622032
WEAK_BULL,BULLISH,123,✅ RELIABLE,9,0.5772357723577236,1.9135162413220317,2.035490605427978,12.662385169374371,9.760132399057253,-8.800132743277985,1.5143333641153405
WEAK_BULL,BULLISH,123,✅ RELIABLE,10,0.5772357723577236,2.0444507738643907,1.4524647887324078,12.60577996186101,9.92041666870714,-8.709271890247829,1.5552602408503278
WEAK_BULL,BULLISH,123,✅ RELIABLE,11,0.5772357723577236,1.802747901386913,1.7208714872118775,13.631148193335287,10.220207418568938,-9.690321823996237,1.440046494719922
WEAK_BULL,BULLISH,123,✅ RELIABLE,12,0.5365853658536586,2.0270060687545985,1.0797003455899656,14.825742473325684,12.118767100427341,-9.658190915287529,1.4528866498578976
WEAK_BULL,BULLISH,123,✅ RELIABLE,13,0.5447154471544715,2.5791624011678724,0.5274926896393647,15.488690153495643,12.525416711976874,-9.32082043497861,1.607773320792703
WEAK_BULL,BULLISH,123,✅ RELIABLE,14,0.5040650406504065,2.5597387940117438,0.20354906054280525,15.86711713601442,13.803762348978479,-8.868613015954447,1.5819895974474858
WEAK_BULL,BULLISH,123,✅ RELIABLE,15,0.4796747967479675,3.266729053674144,-0.1631321370309916,18.204827479706736,16.32388042243025,-8.770332364397891,1.7158502824266701
WEAK_BULL,BULLISH,123,✅ RELIABLE,16,0.5,3.930660827507296,0.11832816285666953,20.018483593157033,17.556018704733678,-9.694697049719084,1.8108888410538198
WEAK_BULL,BULLISH,123,✅ RELIABLE,17,0.5163934426229508,4.2781357868089795,1.1706597461835913,20.582488343132287,18.242564096291325,-10.633033425011146,1.83196528443144
WEAK_BULL,BULLISH,123,✅ RELIABLE,18,0.5327868852459017,4.848698307089109,1.4877940804452372,23.206364857518743,19.08687382747297,-11.387817637208276,1.9113173397608474
WEAK_BULL,BULLISH,123,✅ RELIABLE,19,0.5491803278688525,5.6276492000142495,2.2010721331512366,24.540774651250747,19.887788035064446,-11.743792653592353,2.0629572151683506
WEAK_BULL,BULLISH,123,✅ RELIABLE,20,0.5491803278688525,5.925372154891522,1.8056594518193474,25.18035154546437,20.4380974093672,-11.753765882378849,2.1182418393789773
NEUTRAL,NEUTRAL,146,✅ RELIABLE,1,0.5205479452054794,0.3180926318231132,0.2140958846003087,7.570287162731793,4.9165825096954,-4.674553521295368,1.141928067215727
NEUTRAL,NEUTRAL,146,✅ RELIABLE,2,0.5068493150684932,0.08161575699536483,0.1943448624269367,9.984396124854088,6.0044058849064506,-6.005696318913253,1.0275569408713723
NEUTRAL,NEUTRAL,146,✅ RELIABLE,3,0.4931506849315068,0.2548220275958292,-0.2120431135998042,10.960158803351822,7.496360803454623,-6.790999484050564,1.0740328392816885
