ticker,date,direction,gap_pct,abs_gap_pct,gap_bucket,atr,open_price,prev_close,candle_color,ft_level,has_ft,session_high,session_low,eod_close,hod_minutes_from_open,lod_minutes_from_open,entry_price,entry_time,ft_minutes_from_open,eod_return,eod_return_from_open,mae_pct,mfe_pct,adverse_after_ft,bounce_depth_before_dest,close_above_open,fwd_15min,fwd_30min,fwd_1hr,fwd_2hr,cs,is_nr7,bar1_time,data_ok,group,win_from_open,win_from_ft_entry
ANF,2024-08-08,GAP_UP,0.0275473708241382,0.0275473708241382,2-5%,8.180000000000005,135.03,131.41,BEARISH,131.758,False,141.15,133.56,141.03,385.0,20.0,,,,,-0.0444345700955343,,,,,,,,,,-27.99133453775013,False,2024-08-08 09:30:00-04:00,True,bearish_non_magenta,False,False
ANF,2024-08-15,GAP_UP,0.0530476252694845,0.0530476252694845,5-8%,7.977500000000006,161.19,153.07,BEARISH,157.999,True,162.035,157.445,162.02,255.0,120.0,157.445,2024-08-15 11:30:00-04:00,120.0,-0.029058,-0.005149,0.029153,0.0,True,0.005462,True,-0.011401,-0.008193,-0.015656,-0.024644,69.94549386207517,False,2024-08-15 09:30:00-04:00,True,bearish_non_magenta,False,False
ANF,2024-11-11,GAP_UP,0.0224707394158301,0.0224707394158301,2-5%,5.921071428571429,147.2,143.965,BEARISH,144.8315714285714,True,147.45,140.06,140.12,10.0,280.0,143.21,2024-11-11 10:00:00-05:00,30.0,0.021577,0.048098,0.014524,0.021996,True,0.010334,False,-0.010334,-0.003352,-0.00405,0.010055,49.327762161118365,False,2024-11-11 09:30:00-05:00,True,bearish_non_magenta,True,True
ANF,2024-11-14,GAP_UP,0.0277112676056338,0.0277112676056338,2-5%,5.787499999999999,145.935,142.0,BEARISH,143.62,False,148.42,143.945,144.735,35.0,10.0,,,,,0.0082228389351422,,,,,,,,,,19.45189922113127,False,2024-11-14 09:30:00-05:00,True,bearish_non_magenta,True,False
ANF,2024-11-26,GAP_UP,0.0298656851349606,0.0298656851349606,2-5%,7.23428571428571,159.485,154.86,BEARISH,156.59128571428573,True,159.485,142.9,146.82,0.0,320.0,152.705,2024-11-26 09:30:00-05:00,0.0,0.038538,0.079412,0.044399,0.064209,True,0.001408,False,0.034413,0.040699,0.055696,0.032284,-100.0,False,2024-11-26 09:30:00-05:00,True,magenta_max_bear,True,True
ANF,2025-04-14,GAP_UP,0.0213083604777414,0.0213083604777414,2-5%,6.400357142857139,75.25,73.68,BEARISH,72.68985714285715,True,75.25,71.605,72.92,0.0,140.0,72.6,2025-04-14 11:25:00-04:00,115.0,-0.004408,0.030963,0.008264,0.013705,True,0.002617,False,0.004821,0.008402,0.008678,0.008471,44.51178065703132,False,2025-04-14 09:30:00-04:00,True,bearish_non_magenta,True,False
APLD,2024-01-26,GAP_UP,0.0368217054263564,0.0368217054263564,2-5%,0.6389285714285714,5.35,5.16,BEARISH,5.094428571428571,True,5.35,4.965,5.04,0.0,360.0,5.065,2024-01-26 10:15:00-05:00,45.0,0.004936,0.057944,0.012833,0.019743,True,0.012833,False,-0.010859,-0.00691,-0.007897,0.008885,1.9040188871069688,False,2024-01-26 09:30:00-05:00,True,bearish_non_magenta,True,True
APLD,2024-02-09,GAP_UP,0.0388446215139442,0.0388446215139442,2-5%,0.3507142857142858,5.215,5.02,BEARISH,5.074714285714285,True,5.28,5.025,5.15,375.0,205.0,5.03,2024-02-09 10:00:00-05:00,30.0,-0.023857,0.012464,0.049702,0.000994,True,0.042744,False,-0.022863,-0.023857,-0.013917,-0.036779,70.66455036491749,False,2024-02-09 09:30:00-05:00,True,bearish_non_magenta,True,False
APLD,2024-02-15,GAP_UP,0.0286624203821655,0.0286624203821655,2-5%,0.3946428571428573,4.845,4.71,BEARISH,4.687142857142857,False,5.0,4.67,4.925,255.0,100.0,,,,,-0.0165118679050567,,,,,,,,,,70.89956351612484,False,2024-02-15 09:35:00-05:00,True,bearish_non_magenta,False,False
APLD,2024-02-22,GAP_UP,0.0375426621160409,0.0375426621160409,2-5%,0.3782142857142858,4.56,4.395,BEARISH,4.408714285714285,True,4.565,4.32,4.32,0.0,385.0,4.365,2024-02-22 10:40:00-05:00,70.0,0.010309,0.052632,0.030928,0.010309,True,0.030928,False,-0.003436,-0.018328,-0.010309,-0.004582,76.95928126272896,False,2024-02-22 09:30:00-05:00,True,bearish_non_magenta,True,True
