ticker,date,prior_close,open_price,gap_pct,day_close,day_high,day_low
MRK,2024-03-27 04:00:00+00:00,125.53,132.34,0.054249980084441984,131.78,133.02,130.13
MRNA,2024-11-07 05:00:00+00:00,51.75,56.53,0.09236714975845413,50.3,56.53,49.97
MRNA,2025-01-21 05:00:00+00:00,34.05,35.82,0.051982378854625644,35.89,37.89,35.31
MRNA,2025-03-05 05:00:00+00:00,30.385,32.65,0.07454336021063014,35.19,35.37,30.98
MRNA,2025-11-06 05:00:00+00:00,23.535,25.17,0.06947100063734869,24.32,25.55,23.67
MRNA,2026-01-16 05:00:00+00:00,39.34,41.58,0.056939501779359296,41.83,42.285,40.58
MRNA,2026-02-18 05:00:00+00:00,43.95,46.69,0.062343572241183046,46.61,47.68,45.68
MRNA,2026-03-04 05:00:00+00:00,49.81,53.585,0.0757879943786388,57.8,59.505,51.71
MRVL,2024-02-22 05:00:00+00:00,65.54,68.84,0.05035093072932555,69.81,70.37,68.31
MRVL,2024-03-27 04:00:00+00:00,68.22,71.635,0.050058633831720996,72.285,72.76,70.395
MRVL,2024-07-31 04:00:00+00:00,62.79,66.5,0.05908584169453736,67.08,67.325,64.95
MRVL,2024-08-30 04:00:00+00:00,69.89,78.2,0.11890113034768926,76.29,79.0,72.78
MRVL,2024-11-01 04:00:00+00:00,80.08,84.195,0.051386113886113825,84.82,87.22,83.48
MRVL,2024-12-04 05:00:00+00:00,95.93,112.38,0.17147920358594795,118.16,119.79,109.65
MRVL,2024-12-13 05:00:00+00:00,108.99,117.99,0.08257638315441784,120.845,121.79,115.25
MRVL,2025-04-08 04:00:00+00:00,50.98,54.24,0.0639466457434289,50.07,56.24,48.54
MRVL,2025-04-23 04:00:00+00:00,50.61,54.845,0.08367911479944674,53.765,55.94,53.375
MRVL,2025-05-12 04:00:00+00:00,59.62,64.75,0.08604495135860454,64.5,65.09,63.18
MRVL,2025-06-18 04:00:00+00:00,70.035,74.42,0.06261155136717363,74.94,77.625,73.76
MRVL,2025-07-30 04:00:00+00:00,76.35,83.22,0.08998035363457767,81.78,85.25,80.65
MRVL,2025-10-31 04:00:00+00:00,88.54,93.335,0.05415631353060749,93.71,97.56,90.96
MRVL,2025-12-03 05:00:00+00:00,92.9,99.985,0.07626480086114094,100.22,102.06,95.8
MRVL,2026-03-06 05:00:00+00:00,75.77,84.42,0.1141612775504818,91.91,92.185,83.455
MS,2024-11-06 05:00:00+00:00,117.86,128.63,0.09137960291871709,131.45,133.52,127.75
MSFT,2025-05-01 04:00:00+00:00,394.04,431.3,0.09455892802761139,425.22,436.82,424.95
MSFT,2025-07-31 04:00:00+00:00,513.33,555.2,0.08156546471080982,533.93,555.2,532.025
MU,2024-03-21 04:00:00+00:00,96.33,113.365,0.17684002906674967,109.82,113.47,108.855
MU,2024-07-31 04:00:00+00:00,102.48,109.79,0.07133099141295865,109.83,111.3,107.83
MU,2024-08-07 04:00:00+00:00,88.95,93.48,0.050927487352445205,86.79,93.57,86.59
MU,2024-09-26 04:00:00+00:00,95.83,113.1,0.18021496399874776,109.89,114.79,107.53
MU,2025-01-06 05:00:00+00:00,89.89,95.565,0.0631327177661586,99.26,101.52,95.52
MU,2025-04-14 04:00:00+00:00,69.54,74.67,0.07377049180327862,71.0,74.75,70.0
MU,2025-04-23 04:00:00+00:00,70.21,73.73,0.05013530836063254,72.87,75.375,72.5
MU,2025-05-12 04:00:00+00:00,85.875,92.89,0.08168850072780204,92.31,94.175,91.96
MU,2025-08-11 04:00:00+00:00,118.9,124.85,0.05004205214465928,123.73,127.245,121.655
MU,2025-09-11 04:00:00+00:00,139.99,147.71,0.05514679619972854,150.57,156.23,147.62
MU,2025-10-13 04:00:00+00:00,181.44,191.3,0.05434303350970025,192.72,193.38,188.12
MU,2025-12-18 05:00:00+00:00,225.66,256.58,0.13702029602056184,248.52,263.29,246.535
MU,2026-02-11 05:00:00+00:00,373.19,395.26,0.059138776494547,410.06,414.09,386.81
NCLH,2024-02-27 05:00:00+00:00,15.93,17.75,0.11424984306340241,19.1,19.15,17.58
NCLH,2024-05-20 04:00:00+00:00,15.74,16.545,0.05114358322744609,16.94,17.18,16.405
NCLH,2024-10-28 04:00:00+00:00,23.15,24.38,0.05313174946004322,23.8,24.7,23.675
NCLH,2024-10-31 04:00:00+00:00,23.85,25.2,0.056603773584905565,25.35,26.7,25.15
NCLH,2025-04-08 04:00:00+00:00,15.51,16.75,0.0799484203739523,15.54,16.925,15.305
NCLH,2025-04-23 04:00:00+00:00,16.615,17.55,0.05627445079747231,17.01,18.195,16.965
NCLH,2025-05-12 04:00:00+00:00,17.7,18.895,0.06751412429378532,19.15,19.4,18.68
NCLH,2025-07-31 04:00:00+00:00,23.43,26.115,0.11459667093469905,25.55,27.08,25.175
NCLH,2026-02-17 05:00:00+00:00,21.515,22.86,0.06251452475017424,24.115,24.455,22.63
NET,2024-02-09 05:00:00+00:00,90.42,110.97,0.22727272727272724,107.91,115.8,105.04
NET,2024-08-02 04:00:00+00:00,74.395,78.98,0.06163048591975278,79.57,80.68,75.43
