ticker,dataset,rows,path,status
SNAP,5Min,45185,SNAP_5Min.csv,ok
SNDK,1D,285,SNDK_1D.csv,ok
SNDK,5Min,0,,error: 't'
SNOW,1D,565,SNOW_1D.csv,ok
SNOW,5Min,42954,SNOW_5Min.csv,ok
SOFI,1D,565,SOFI_1D.csv,ok
SOFI,5Min,44649,SOFI_5Min.csv,ok
SOUN,1D,565,SOUN_1D.csv,ok
SOUN,5Min,44673,SOUN_5Min.csv,ok
SOXS,1D,565,SOXS_1D.csv,ok
SOXS,5Min,48729,SOXS_5Min.csv,ok
SOXX,1D,565,SOXX_1D.csv,ok
SOXX,5Min,39764,SOXX_5Min.csv,ok
SPX,1D,0,,error: 't'
SPY,1D,565,SPY_1D.csv,ok
SPY,5Min,46344,SPY_5Min.csv,ok
SQQQ,1D,565,SQQQ_1D.csv,ok
SQQQ,5Min,53005,SQQQ_5Min.csv,ok
TAN,1D,565,TAN_1D.csv,ok
TAN,5Min,29922,TAN_5Min.csv,ok
TEM,1D,451,TEM_1D.csv,ok
TEM,5Min,0,,error: 't'
TGT,1D,565,TGT_1D.csv,ok
TGT,5Min,43019,TGT_5Min.csv,ok
TIGR,1D,565,TIGR_1D.csv,ok
TIGR,5Min,33513,TIGR_5Min.csv,ok
TSLA,1D,565,TSLA_1D.csv,ok
TSLA,5Min,45424,TSLA_5Min.csv,ok
TSM,1D,565,TSM_1D.csv,ok
TSM,5Min,44290,TSM_5Min.csv,ok
U,1D,565,U_1D.csv,ok
U,5Min,43620,U_5Min.csv,ok
UAL,1D,565,UAL_1D.csv,ok
UAL,5Min,43237,UAL_5Min.csv,ok
UBER,1D,565,UBER_1D.csv,ok
UBER,5Min,43790,UBER_5Min.csv,ok
UFO,1D,565,UFO_1D.csv,ok
UFO,5Min,3977,UFO_5Min.csv,ok
UNH,1D,565,UNH_1D.csv,ok
UNH,5Min,42897,UNH_5Min.csv,ok
UPST,1D,565,UPST_1D.csv,ok
UPST,5Min,41036,UPST_5Min.csv,ok
VLO,1D,565,VLO_1D.csv,ok
VLO,5Min,41511,VLO_5Min.csv,ok
VRT,1D,565,VRT_1D.csv,ok
VRT,5Min,43447,VRT_5Min.csv,ok
VST,1D,565,VST_1D.csv,ok
VST,5Min,43196,VST_5Min.csv,ok
WMT,1D,565,WMT_1D.csv,ok
WMT,5Min,43710,WMT_5Min.csv,ok
XBI,1D,565,XBI_1D.csv,ok
XBI,5Min,44088,XBI_5Min.csv,ok
XHB,1D,565,XHB_1D.csv,ok
XHB,5Min,38460,XHB_5Min.csv,ok
XLE,1D,565,XLE_1D.csv,ok
XLE,5Min,43817,XLE_5Min.csv,ok
XLF,1D,565,XLF_1D.csv,ok
XLF,5Min,43956,XLF_5Min.csv,ok
XLI,1D,565,XLI_1D.csv,ok
XLI,5Min,43424,XLI_5Min.csv,ok
XLK,1D,565,XLK_1D.csv,ok
XLK,5Min,41160,XLK_5Min.csv,ok
XLP,1D,565,XLP_1D.csv,ok
XLP,5Min,43507,XLP_5Min.csv,ok
XLV,1D,565,XLV_1D.csv,ok
XLV,5Min,43234,XLV_5Min.csv,ok
XOM,1D,565,XOM_1D.csv,ok
XOM,5Min,43729,XOM_5Min.csv,ok
XOP,1D,565,XOP_1D.csv,ok
XOP,5Min,39424,XOP_5Min.csv,ok
XPEV,1D,565,XPEV_1D.csv,ok
XPEV,5Min,43312,XPEV_5Min.csv,ok
YANG,1D,565,YANG_1D.csv,ok
YANG,5Min,22542,YANG_5Min.csv,ok
Z,1D,565,Z_1D.csv,ok
Z,5Min,41219,Z_5Min.csv,ok
ZETA,1D,565,ZETA_1D.csv,ok
ZETA,5Min,41540,ZETA_5Min.csv,ok
ZM,1D,565,ZM_1D.csv,ok
ZM,5Min,41377,ZM_5Min.csv,ok
ZS,1D,565,ZS_1D.csv,ok
ZS,5Min,38781,ZS_5Min.csv,ok
