ticker,date,direction,gap_pct,abs_gap_pct,gap_bucket,atr,open_price,prev_close,cs_score,candle_tier,session_high,session_low,eod_close,hod_pct,lod_pct,hod_atr,lod_atr,hod_minutes,lod_minutes,hod_timing_bucket,lod_timing_bucket,eod_return,win,std_ft_fired,std_ft_minutes,reverse_ft_fired,reverse_ft_minutes,trade_date,path_type,setup_direction,path_ft_fired,path_ft_minutes,path_reverse_ft_fired,path_reverse_ft_minutes,ft_trigger_ref_price,close_from_open_abs,close_from_open_pct,close_from_open_atr,achieved_0p70_atr,achieved_1p00_atr,destination_minutes,adverse_peak_minutes,destination_timing_bucket,adverse_timing_bucket,open_5m_high,open_5m_low,open_5m_close,open_5m_range,open_5m_range_atr,relevant_or_level,or_violated,first_or_violation_minutes,max_violation_depth_abs,max_violation_depth_pct,max_violation_depth_atr,violation_depth_bucket,violation_timing_abs_bucket,violation_timing_rel_bucket,mfe_after_violation_abs,mfe_after_violation_pct,mfe_after_violation_atr,mae_after_violation_abs,mae_after_violation_pct,mae_after_violation_atr
AA,2024-06-14,GAP_DN,-0.020239,0.020239,2-5%,1.6421,37.76,38.54,12.1,BULLISH,38.14,37.23,37.9,0.010064,0.014036,0.2314,0.3228,220.0,70.0,MID_SESSION,FIRST_2HR,0.003708,1,False,,False,,2024-06-13,gapdown_bounce_long,LONG,False,,False,,38.41684,0.14000000000000057,0.003707627118644083,0.08525668351501162,False,False,220.0,70.0,2hr_to_4hr,1hr_to_2hr,39.65,39.65,39.65,0.0,0.0,39.65,True,5.0,1.3099999999999952,0.034692796610169364,0.797758967176174,0.50+ ATR,at_open,pre_ft_early,1.7600000000000051,0.04661016949152556,1.0717983070458592,0.0,0.0,0.0
AA,2024-09-25,GAP_DN,-0.031275,0.031275,2-5%,1.6636,35.62,36.77,-100.0,BULLISH,36.64,35.62,36.01,0.028636,0.0,0.6131,0.0,35.0,0.0,FIRST_HOUR,AT_OPEN,0.010949,1,True,0.0,False,,2024-09-24,gapdown_bounce_long,LONG,False,,True,0.0,36.285439999999994,0.39000000000000057,0.010948905109489067,0.2344313536907914,False,False,35.0,0.0,30min_to_1hr,at_open,36.9,36.535,36.835,0.365000000000002,0.21940370281317745,36.535,True,45.0,0.2849999999999966,0.008001122964626519,0.1713152200048068,0.10-0.25 ATR,30min_to_1hr,pre_ft_mid,1.730000000000004,0.048568220101066935,1.0399134407309474,0.0,0.0,0.0
AA,2024-10-03,GAP_DN,-0.030899,0.030899,2-5%,1.6925,37.95,39.16,-23.09,BULLISH,38.58,37.77,38.17,0.016601,0.004743,0.3722,0.1064,10.0,70.0,FIRST_30MIN,FIRST_2HR,0.005797,1,False,,False,,2024-10-02,gapdown_bounce_long,LONG,False,,False,,38.627,0.21999999999999886,0.005797101449275332,0.1299852289512549,False,False,10.0,70.0,first_30min,1hr_to_2hr,39.345,39.305,39.305,0.03999999999999915,0.02363367799113687,39.305,True,5.0,0.45000000000000284,0.011857707509881497,0.26587887740029714,0.25-0.50 ATR,at_open,pre_ft_early,2.019999999999996,0.05322793148880094,1.193500738552435,0.0,0.0,0.0
AA,2024-10-08,GAP_DN,-0.029635,0.029635,2-5%,1.5907,38.31,39.48,-99.6,NEUTRAL,38.67,37.21,37.72,0.009397,0.028713,0.2263,0.6915,0.0,135.0,AT_OPEN,MID_SESSION,-0.015401,0,False,,False,,2024-10-07,gapdown_continuation_short,SHORT,False,,False,,37.67372,0.5900000000000034,0.015400678673975552,0.37090589048846634,False,False,135.0,0.0,2hr_to_4hr,at_open,39.0,38.805,39.0,0.19500000000000028,0.12258754007669598,39.0,True,5.0,0.7800000000000011,0.020360219263899793,0.4903501603067839,0.25-0.50 ATR,at_open,pre_ft_early,0.0,0.0,0.0,1.4699999999999989,0.03837118245888799,0.924121455962783
AA,2025-01-23,GAP_DN,-0.033497,0.033497,2-5%,1.4586,37.51,38.81,27.84,NEUTRAL,37.98,36.11,37.37,0.01253,0.037323,0.3222,0.9598,325.0,45.0,LAST_HOUR,FIRST_HOUR,-0.003732,0,False,,False,,2025-01-22,gapdown_continuation_short,SHORT,False,,False,,36.926559999999995,0.14000000000000057,0.0037323380431884983,0.09598244892362578,False,False,45.0,325.0,30min_to_1hr,after_4hr,39.83,38.79,38.79,1.0399999999999991,0.7130124777183595,39.83,False,,0.0,0.0,0.0,no_violation,no_violation,no_violation,,,,,,
AA,2025-05-23,GAP_DN,-0.023597,0.023597,2-5%,1.0957,27.31,27.97,-41.88,BULLISH,28.16,27.31,28.06,0.031124,0.0,0.7758,0.0,50.0,0.0,FIRST_HOUR,AT_OPEN,0.027462,1,True,20.0,False,,2025-05-22,gapdown_bounce_long,LONG,False,,True,20.0,27.748279999999998,0.75,0.027462467960454047,0.6844939308204802,False,False,50.0,0.0,30min_to_1hr,at_open,28.055,27.85,27.85,0.2049999999999983,0.18709500775759635,27.85,True,5.0,0.28000000000000114,0.01025265470523622,0.25554440083964697,0.25-0.50 ATR,at_open,pre_ft_early,1.0400000000000027,0.03808128890516305,0.9491649174044016,0.0,0.0,0.0
AA,2026-01-23,GAP_DN,-0.03477,0.03477,2-5%,3.0964,60.935,63.13,-94.14,MAX_BEARISH,62.54,57.52,62.2,0.02634,0.056043,0.5183,1.1029,385.0,0.0,LAST_HOUR,AT_OPEN,0.02076,1,True,0.0,True,215.0,2026-01-22,gapdown_continuation_short,SHORT,True,0.0,True,215.0,59.69644,-1.2650000000000006,-0.020759826044145408,-0.408538948456272,False,False,0.0,385.0,at_open,last_30min,64.97,64.38,64.84,0.5900000000000034,0.1905438573827682,64.97,False,,0.0,0.0,0.0,no_violation,no_violation,no_violation,,,,,,
AA,2026-01-30,GAP_DN,-0.038918,0.038918,2-5%,3.1396,58.28,60.64,-86.88,BULLISH,59.84,55.93,56.76,0.026767,0.040323,0.4969,0.7485,10.0,240.0,FIRST_30MIN,MID_SESSION,-0.026081,0,False,,True,165.0,2026-01-29,gapdown_bounce_long,LONG,True,165.0,False,,59.53584,-1.5200000000000031,-0.026080988332189484,-0.484138106765194,False,False,10.0,240.0,first_30min,2hr_to_4hr,63.475,62.28,62.645,1.1950000000000003,0.38062173525289855,62.28,True,35.0,3.1499999999999986,0.05404941660947149,1.0033125238883929,0.50+ ATR,30min_to_1hr,pre_ft,4.604999999999997,0.07901509951956069,1.4667473563511264,0.0,0.0,0.0
AAL,2024-01-25 05:00:00+00:00,GAP_UP,0.0470039468963042,0.0470039468963042,2-5%,0.658571428571429,14.59,13.935,100.0,MAX_BULLISH,15.455,14.55,15.37,0.059287,0.002742,1.3134,0.0607,215.0,0.0,MID_SESSION,AT_OPEN,-0.053461,0,True,0.0,False,,2024-01-25,gapup_continuation_long,LONG,True,0.0,False,,14.853428571428571,0.7799999999999994,0.053461274845784744,1.1843817787418638,True,True,215.0,0.0,2hr_to_4hr,at_open,14.97,14.55,14.92,0.41999999999999993,0.6377440347071578,14.55,False,,0.0,0.0,0.0,no_violation,no_violation,no_violation,,,,,,
AAL,2024-09-26 04:00:00+00:00,GAP_UP,0.0336669699727023,0.0336669699727023,2-5%,0.4207142857142855,11.36,10.99,-13.64,BULLISH,11.98,11.35,11.8,0.054577,0.00088,1.4737,0.0238,75.0,0.0,FIRST_2HR,AT_OPEN,-0.038732,0,True,0.0,False,,2024-09-26,gapup_continuation_long,LONG,True,0.0,False,,11.528285714285714,0.4400000000000013,0.0387323943661973,1.0458404074702923,True,True,75.0,0.0,1hr_to_2hr,at_open,11.735,11.35,11.67,0.3849999999999998,0.9151103565365025,11.35,False,,0.0,0.0,0.0,no_violation,no_violation,no_violation,,,,,,
